osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[246292520, 246292539, 4633108, 47129933]",0,1.0,4,0.0250508379387435,0.5,185.26,187.39,185.26,0.565,0.0,1.0,0.0,0.033966673166993235,0.49994999499949994,0.1767132706853083,0.7182320441988949,low,1.0
"[246292512, 1451637154, 1451637155]",0,1.0,5,0.0250508379387435,0.5,317.25,323.23,317.25,0.455,0.0,1.0,0.07692307692307693,0.033966673166993235,0.49994999499949994,0.30276377110550845,0.4751381215469614,low,0.9999
4636197,0,1.0,7,0.015697803678446445,0.5,50.95,50.95,55.06,0.6925,0.0,1.0,0.23076923076923078,0.021284322767113145,0.49994999499949994,0.04844716937886776,1.0,low,1.0
"[1053887657, 361136020, 1030350685, 553113566]",0,0.9271,7,0.0250508379387435,0.568,119.76,122.63,119.76,0.6525,0.0,0.9088522130532634,0.23076923076923078,0.033966673166993235,0.5679567956795679,0.11416074566429828,0.9116022099447513,low,1.0
4633501,0,0.9788,7,0.003477784266613675,0.5,26.62,26.82,26.62,0.6925,0.0,0.9734933733433357,0.23076923076923078,0.004714452096151059,0.49994999499949994,0.02521201008480404,1.0,low,1.0
553113562,0,0.9465,6,0.003477784266613675,0.5,45.01,45.01,47.23,0.6925,0.0,0.9331082770692672,0.15384615384615385,0.004714452096151059,0.49994999499949994,0.04277446710978685,1.0,low,1.0
1053887653,0,0.8144,7,0.017070599642757027,0.7293,25.39,25.39,26.53,0.6525,0.0,0.7679419854963742,0.23076923076923078,0.023145780660070243,0.7292729272927292,0.02403735961494385,0.9116022099447513,low,1.0
4633492,0,0.8764,8,0.023957025196660302,0.6554,290.09,290.09,304.48,0.6525,0.0,0.8454613653413352,0.3076923076923077,0.03248350566424614,0.6553655365536554,0.2768259607303843,0.9116022099447513,low,1.0
4827140,0,1.0,7,0.010064405294326924,1.0,36.38,37.96,36.38,0.6925,0.0,1.0,0.23076923076923078,0.013645653832391108,1.0,0.034532813813125535,1.0,low,1.0
4633492,0,0.8764,8,0.023957025196660296,0.6554,290.09,290.09,304.48,0.6525,0.0,0.8454613653413352,0.3076923076923077,0.03248350566424613,0.6553655365536554,0.2768259607303843,0.9116022099447513,low,1.0
4649749,0,0.9432,7,0.003477784266613675,0.5,53.3,53.3,53.54,0.6925,0.0,0.9289822455613904,0.23076923076923078,0.004714452096151059,0.49994999499949994,0.05069142027656812,1.0,low,1.0
361136020,0,0.9077,6,0.015697803678446445,0.5,16.21,16.21,18.41,0.6125,0.0,0.8845961490372592,0.15384615384615385,0.021284322767113145,0.49994999499949994,0.015270456108182446,0.8232044198895029,low,1.0
252014960,0,1.0,5,0.02189687420982172,0.5,187.27,191.74,187.27,0.555,0.0,1.0,0.07692307692307693,0.029690021115316902,0.49994999499949994,0.17863282145312862,0.696132596685083,low,1.0
