osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
295124095,0,0.4197,8,0.208314874562645,0.1876,35.0,35.0,37.03,0.385,0.0,0.29171243744660075,0.5,0.2888882244631921,0.18751875187518752,0.10227938591351222,0.229050279329609,medium,0.9997
294085157,0,0.5305,8,0.03941968740878726,0.1047,5.11,5.11,13.87,0.3225,0.0,0.4269498352251922,0.5,0.05466085117142085,0.10461046104610461,0.014707605765850227,0.08938547486033527,medium,0.9932
"[1409649736, 1409649737]",0,0.4369,8,0.19943937750442234,0.2375,123.74,130.28,123.74,0.385,0.0,0.3127059685097034,0.5,0.2765794997586063,0.2374237423742374,0.3622700105472869,0.229050279329609,high,0.5249
"[1409649734, 491295302]",0,0.3488,7,0.3630295038119336,0.0611,181.16,181.16,187.39,0.425,0.0,0.2051751495178811,0.4,0.503449703860821,0.061006100610061,0.5304992382514941,0.3184357541899442,high,0.9999
"[481121896, 1360091610, 489412375, 481121895]",0,0.4104,8,0.3464652156302716,0.0611,141.75,141.75,147.6,0.6525,0.0,0.2803612840229464,0.5,0.48047800302896576,0.061006100610061,0.4150357435837337,0.8268156424581006,medium,0.9959
237914522,0,0.4246,8,0.2043794905378366,0.054,121.89,125.94,121.89,0.5325,0.0,0.29769315269132185,0.5,0.28343055169845216,0.0539053905390539,0.3568498769483182,0.5586592178770949,medium,0.9998
891567020,0,0.4097,8,0.21354125996363887,0.4613,20.62,20.62,21.02,0.505,0.0,0.2795068961308434,0.5,0.2961362849018243,0.46124612461246123,0.06014883393882573,0.4972067039106146,medium,1.0
"[1409652521, 1094457471]",0,0.4217,8,0.18637848351638991,0.0165,107.16,115.04,107.16,0.385,0.0,0.2941535457097522,0.5,0.25846637917055615,0.016401640164016403,0.31369389429274575,0.229050279329609,medium,0.9884
1409649740,0,0.4153,8,0.2022203295684959,0.2933,112.55,112.55,120.41,0.6075,0.0,0.2863419992676675,0.5,0.28043618216735305,0.29322932293229326,0.3294855267783897,0.7262569832402236,medium,0.9999
"[490175813, 238324877, 891567021]",0,0.4048,8,0.20353197827099065,0.074,15.95,15.95,19.5,0.6525,0.0,0.2735261808861223,0.5,0.2822552039846357,0.0739073907390739,0.04646665885386147,0.8268156424581006,medium,0.6791
"[1409652522, 1409652523]",0,0.4203,8,0.18713713993233366,0.056,113.46,113.46,119.3,0.385,0.0,0.2924447699255462,0.5,0.25951849973439184,0.055905590559055904,0.3321516465486932,0.229050279329609,medium,0.9634
449991627,0,0.4183,8,0.1873283628106541,0.0678,2.25,2.25,9.77,0.385,0.0,0.2900036616623947,0.5,0.2597836916161563,0.0677067706770677,0.006328372202039142,0.229050279329609,medium,0.9999
"[1409641104, 1409652524]",0,0.4329,8,0.17840349702961328,0.0469,111.54,121.19,111.54,0.425,0.0,0.30782375198340045,0.5,0.24740650133559206,0.0468046804680468,0.3265264268135474,0.3184357541899442,medium,0.9976
1382321714,0,0.431,8,0.17920921150993396,0.0407,110.89,116.83,110.89,0.385,0.0,0.3055046991334065,0.5,0.2485238830060167,0.0406040604060406,0.32462205554904483,0.229050279329609,medium,0.9868
1409649738,0,0.4123,8,0.2133757052543377,0.1876,13.34,13.34,13.89,0.4075,0.0,0.2826803368729403,0.5,0.29590669017299187,0.18751875187518752,0.03881987577639751,0.27932960893854747,medium,1.0
"[450137745, 1408526883, 1408535287]",0,0.5868,9,0.027807918583099497,0.125,113.86,119.07,113.86,0.3225,0.0,0.49566703283290614,0.6,0.03855740762667092,0.1249124912491249,0.33332356732684865,0.08938547486033527,medium,0.9999
"[1441734225, 1408526884]",0,0.4332,7,0.15580122661666435,0.125,114.56,114.56,121.78,0.425,0.0,0.3081899182228731,0.4,0.21606120062887252,0.1249124912491249,0.3353744286886206,0.3184357541899442,medium,0.999
489412375,0,0.4771,8,0.30279583547811406,0.118,119.32,120.4,119.32,0.6525,0.0,0.36177224459904794,0.5,0.41991639450307094,0.1179117911791179,0.34932028594866976,0.8268156424581006,medium,1.0
"[1112801408, 1409652525]",0,0.5115,8,0.21855636902000253,0.0314,116.94,116.94,125.17,0.425,0.0,0.40375930672525323,0.5,0.303091342892753,0.0313031303130313,0.3423473573186452,0.3184357541899442,medium,0.9977
12373020,0,0.3887,8,0.20666892550871138,0.437,15.33,15.33,16.31,0.4475,0.0,0.25387525936775296,0.5,0.2866055879359372,0.436943694369437,0.04465018164772061,0.36871508379888274,medium,0.9999
553772888,0,0.6905,7,0.1057130324415042,0.2263,82.65,82.65,87.5,0.465,0.0,0.6222384962773099,0.4,0.146597846744854,0.22622262226222623,0.24188444861127384,0.40782122905027945,medium,0.9514
525588035,0,0.9386,7,0.00011278333706785288,0.0596,128.09,128.09,131.9,0.4875,0.0,0.9250579763212499,0.4,0.00014921559376859542,0.059505950595059504,0.37501464900972686,0.4581005586592179,low,0.9981
237659855,0,0.7697,7,0.07725324930762094,0.1294,53.13,53.13,53.79,0.4475,0.0,0.7189063834981082,0.4,0.10712922504972908,0.12931293129312932,0.15539669518340557,0.36871508379888274,low,0.9498
237960945,0,0.5556,8,0.14896490764908543,0.297,129.56,129.56,131.55,0.5325,0.0,0.4575857439277432,0.5,0.20658045069310296,0.29692969296929694,0.379321457869448,0.5586592178770949,medium,1.0
