borough,lighting,lighting_norm,visibility,visibility_norm,connectivity,connectivity_norm,enclosure,enclosure_norm,public_transport_proximity_m,public_transport_proximity_m_norm,dominant_land_use_score,dominant_land_use_score_norm,pedestrian_priority_score,pedestrian_priority_score_norm,risk_score,location_id,risk_class,cluster_id,pc1_score
"London Borough of Southwark, London, UK",0.0,0.0,0.6564,0.5438130642591609,12,0.6428571428571429,0.4243129903341892,0.3735101708322843,82.25,0.1512601934207363,0.0796,0.0796,0.5925,0.6496815286624205,0.3792275101411363,SOU_15806_-26974,medium,0,-0.12806353638644274
"London Borough of Southwark, London, UK",0.0,0.0,0.662,0.5512480084970791,12,0.6428571428571429,0.4018515920416421,0.3537380665024744,112.15,0.206549677323915,0.0564,0.0564,0.5925,0.6496815286624205,0.3857153565779107,SOU_15809_-26976,medium,0,0.11024577881782488
"London Borough of Southwark, London, UK",0.0,0.0,0.6478,0.5323951141795008,12,0.6428571428571429,0.3219365131592629,0.2833911870870604,45.18,0.0827123282605077,0.1709,0.1709,0.5925,0.6496815286624205,0.358245478980663,SOU_15805_-26971,medium,0,-0.07257301700788583
"London Borough of Southwark, London, UK",0.0,0.0,0.6556,0.5427509293680297,12,0.6428571428571429,0.3779989157056291,0.3327412612760906,131.62,0.2425525619926404,0.0306,0.0306,0.5925,0.6496815286624205,0.389934237555459,SOU_15813_-26975,medium,0,0.27122262778454287
"London Borough of Southwark, London, UK",0.0,0.0,0.6558,0.5430164630908126,12,0.6428571428571429,0.2682506127980187,0.2361330774557239,155.93,0.2875053162965292,0.045,0.045,0.53,0.4904458598726115,0.4052868954399166,SOU_15815_-26978,medium,0,0.553108695177116
"London Borough of Southwark, London, UK",0.0,0.0,0.662,0.5512480084970791,12,0.6428571428571429,0.4018515920416421,0.3537380665024744,112.15,0.206549677323915,0.0564,0.0564,0.5925,0.6496815286624205,0.3857153565779107,SOU_15809_-26976,medium,0,0.11024577881782488
"London Borough of Southwark, London, UK",0.0,0.0,0.6901,0.5885554965480616,12,0.6428571428571429,0.3148803479302001,0.2771798536135028,186.92,0.3448103700142385,0.0205,0.0205,0.5925,0.6496815286624205,0.3963712569435141,SOU_15822_-26980,medium,0,0.8512198606787361
"London Borough of Southwark, London, UK",0.0,0.0,0.6558,0.5430164630908126,12,0.6428571428571429,0.2682506127980186,0.2361330774557238,155.93,0.2875053162965292,0.045,0.045,0.53,0.4904458598726115,0.4052868954399166,SOU_15815_-26978,medium,0,0.5531086951771166
"London Borough of Southwark, London, UK",0.0,0.0,0.7154,0.622145512480085,12,0.6428571428571429,0.307764447635619,0.2709159371292086,194.74,0.3592706965735314,0.1289,0.1289,0.53,0.4904458598726115,0.4218053526476746,SOU_15810_-26984,medium,0,0.6170159005499778
"London Borough of Southwark, London, UK",0.0,0.0,0.7061,0.609798194370685,12,0.6428571428571429,0.0320904478246558,0.0282482717289221,15.47,0.0277741822149078,0.0759,0.0759,0.4525,0.2929936305732484,0.3281982702612687,SOU_15844_-26978,low,2,1.1521884928298405
"London Borough of Southwark, London, UK",0.0,0.0,0.7314,0.6433882103027085,12,0.6428571428571429,0.3337440889427451,0.293785046687093,42.59,0.077923038517724,0.064,0.064,0.4525,0.2929936305732484,0.3753208706394523,SOU_15845_-26975,medium,0,0.20845094517194107
"London Borough of Southwark, London, UK",0.0,0.0,0.7251,0.6350238980350504,12,0.6428571428571429,0.3491301547062354,0.3073289451362821,59.44,0.1090811590451006,0.0793,0.0793,0.5925,0.6496815286624205,0.3444888447717525,SOU_15839_-26977,low,2,0.4879380568601021
